Timestamp,Age ,Gender,Municipality in which you visit parks or squares: (circle all that apply),How often have you visited parks or squares in 2019 during the day?,"Regarding the parks or squares that you have visited in 2019, did you visit parks or squares more frequently during the day before the corona virus outbreak?",How much time do you usually spend in parks or squares since the corona virus outbreak in Serbia?,"When you are in parks or squares, what do you usually do (circle all that apply)?",When visiting parks or squares you are often (circle all that apply):,"While using parks or squares, do you behave according to social distancing regulations standing a minimum of 2.0 meters apart from other people?",Would you feel physically safe if there was monitoring of park or square usage that you could access through your phone?,Would you feelsafe regarding the corona virus if there was monitoring of park or square usage that you could access through your phone?,Would you be interested in technology that would allow you to know how many people are in a specific place you would like to go?,"If your identity was not revealed, would you want to provide your phone’s location (see question 10)?"
5/22/2020 11:59:25,15-24,Female,"Čukarica, Rakovica","Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,No,Yes,Yes,"Yes, while using the app"
5/22/2020 12:04:54,25-40,,Voždovac,"Always, almost every day",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Spending time with friends, Walking the dog",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
5/22/2020 12:13:43,41-64,Female,Zvezdara,"Sometimes, a couple of times per month",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,No,No,Yes,Yes,"Yes, at all time"
5/22/2020 20:30:25,15-24,Female,Novi Beograd,"Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption",Alone or with pets,Yes,No,No,Yes,"No, not at all"
5/23/2020 10:45:37,15-24,Female,"Palilula, Stari grad","Always, almost every day",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Walking the dog","Alone or with pets, With partner or friend (two adults)",No,No,No,Yes,"No, not at all"
5/23/2020 15:43:20,25-40,Female,Savski Venac,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,"Consumption, Consumption, Consumption",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
5/23/2020 15:44:02,25-40,Male,Voždovac,"Often, a couple of times per week",Less frequently,From 15 to 30 minutes,Sitting and relaxing,"Alone or with pets, With children, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, at all time"
5/23/2020 16:38:17,15-24,Male,"Vračar, Novi Beograd","Sometimes, a couple of times per month",More frequently,More than one hour,Physical activity,With a small group of friends (up to 5 persons),Yes,No,No,No,"No, not at all"
5/23/2020 17:15:37,15-24,Male,"Voždovac, Vračar","Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/23/2020 17:56:28,,,,,,,,,,,,,
5/23/2020 21:10:12,25-40,Female,Savski Venac,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,"Consumption, Consumption, Consumption",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
5/25/2020 20:20:22,25-40,Female,Novi Beograd,"Always, almost every day",As frequently,More than one hour,"Sitting and relaxing, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,No,No,No,"No, not at all"
5/25/2020 22:09:51,41-64,Male,Stari grad,"Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,Sitting and relaxing,With children,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/26/2020 19:17:39,25-40,Female,Zvezdara,"Always, almost every day",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"No, not at all"
5/27/2020 15:58:34,25-40,Female,"Vračar, Palilula, Stari grad","Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/28/2020 6:37:32,25-40,Female,Zvezdara,"Always, almost every day",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"No, not at all"
5/28/2020 14:22:43,41-64,Female,Voždovac,"Often, a couple of times per week",Not at all,Not at all,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/28/2020 14:25:57,25-40,Female,"Voždovac, Rakovica","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Walking the dog, Physical activity","Alone or with pets, With children",Yes,No,No,Yes,"Yes, while using the app"
5/28/2020 14:42:20,25-40,Female,Novi Beograd,"Often, a couple of times per week",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/28/2020 14:51:12,25-40,Female,"Čukarica, Voždovac, Vračar, Novi Beograd, Palilula, Savski Venac, Stari grad, Zemun, Zvezdara","Sometimes, a couple of times per month",More frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/28/2020 15:33:45,25-40,Female,"Vračar, Novi Beograd, Rakovica, Savski Venac, Stari grad, Zemun, Zvezdara","Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,Spending time with friends,With children,Yes,Yes,Yes,Yes,"Yes, while using the app"
5/28/2020 15:36:10,41-64,Male,"Čukarica, Voždovac, Novi Beograd","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,Walking the dog,"Alone or with pets, With children, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/28/2020 15:37:43,25-40,Male,Novi Beograd,Not at all,Not at all,Not at all,Sitting and relaxing,Alone or with pets,Yes,No,No,No,"No, not at all"
5/28/2020 15:43:14,25-40,Female,Stari grad,"Often, a couple of times per week",Less frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"No, not at all"
5/28/2020 19:24:09,25-40,Male,"Voždovac, Barajevo","Often, a couple of times per week",As frequently,From 15 to 30 minutes,"Sitting and relaxing, Spending time with friends, Physical activity","Alone or with pets, With children, With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,Yes,Yes,Yes,"Yes, at all time"
5/28/2020 20:19:06,25-40,Female,"Palilula, Savski Venac, Stari grad, Zemun, Zvezdara","Rarely, a couple of times per year",More frequently,From 15 to 30 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, while using the app"
5/29/2020 10:31:18,25-40,Female,Zemun,"Often, a couple of times per week",More frequently,Up to 15 minutes,Walking the dog,With partner or friend (two adults),Yes,Yes,Yes,Yes,"No, not at all"
5/29/2020 10:31:19,25-40,Male,Zemun,"Often, a couple of times per week",More frequently,Up to 15 minutes,Walking the dog,With partner or friend (two adults),Yes,Yes,Yes,Yes,"No, not at all"
5/29/2020 17:40:09,41-64,Female,Vračar,"Often, a couple of times per week",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
5/29/2020 20:02:08,25-40,Male,"Čukarica, Vračar, Novi Beograd, Palilula, Stari grad, Zemun, Zvezdara","Sometimes, a couple of times per month",More frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,No,No,Yes,"Yes, while using the app"
5/29/2020 20:40:38,25-40,Female,Zvezdara,"Always, almost every day",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"No, not at all"
5/30/2020 1:52:24,25-40,Female,"Voždovac, Palilula, Stari grad","Rarely, a couple of times per year",More frequently,Not at all,Sitting and relaxing,With children,Yes,No,No,No,"No, not at all"
5/31/2020 12:48:42,41-64,Male,"Čukarica, Voždovac, Vračar, Novi Beograd, Savski Venac, Stari grad, Zvezdara","Always, almost every day",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Spending time with friends, Physical activity","Alone or with pets, With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/31/2020 15:03:11,41-64,Female,"Vračar, Novi Beograd, Stari grad","Often, a couple of times per week",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Walking the dog, Physical activity","Alone or with pets, With children, With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/31/2020 15:22:51,41-64,Female,Čukarica,"Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,No,No,Yes,"No, not at all"
5/31/2020 16:28:29,41-64,Female,Vračar,Not at all,Less frequently,Not at all,Sitting and relaxing,Alone or with pets,Yes,No,No,No,"No, not at all"
5/31/2020 16:29:08,41-64,Female,"Vračar, Savski Venac, Stari grad","Always, almost every day",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/31/2020 16:29:48,41-64,Male,Čukarica,"Sometimes, a couple of times per month",Not at all,More than one hour,"Physical activity, Physical activity, Physical activity",With children,No,Yes,Yes,Yes,"Yes, while using the app"
5/31/2020 18:12:55,25-40,Male,"Vračar, Novi Beograd, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,Yes,Yes,No,"No, not at all"
6/1/2020 19:46:51,41-64,Female,"Vračar, Stari grad","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, while using the app"
6/1/2020 20:33:16,25-40,Male,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
6/1/2020 20:39:41,41-64,Male,Palilula,"Rarely, a couple of times per year",Less frequently,From 15 to 30 minutes,Physical activity,"With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,No,No,No,"No, not at all"
6/1/2020 20:57:00,41-64,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,No,No,Yes,"Yes, while using the app"
6/2/2020 16:38:45,25-40,Female,"Vračar, Stari grad","Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,Yes,No,Yes,"No, not at all"
6/2/2020 18:17:01,15-24,Female,"Vračar, Palilula, Stari grad, Zemun","Often, a couple of times per week",As frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),No,No,No,Yes,"Yes, while using the app"
6/12/2020 20:06:34,41-64,Male,Vračar,"Often, a couple of times per week",As frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, while using the app"
6/14/2020 13:32:56,41-64,Female,Stari grad,"Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
6/14/2020 13:39:00,25-40,Male,Voždovac,"Often, a couple of times per week",More frequently,From 15 to 30 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),No,No,No,No,"No, not at all"
6/17/2020 20:36:20,41-64,Female,Zvezdara,"Often, a couple of times per week",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Walking the dog, Physical activity","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,Yes,No,No,"Yes, while using the app"
6/18/2020 21:58:57,41-64,Male,"Novi Beograd, Zemun","Often, a couple of times per week",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Consumption, Consumption, Consumption",With partner or friend (two adults),No,No,No,No,"No, not at all"
6/19/2020 10:15:15,15-24,Male,Čukarica,"Often, a couple of times per week",Not at all,Not at all,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,No,No,"No, not at all"
6/19/2020 15:22:30,25-40,Male,Stari grad,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,Walking the dog,With partner or friend (two adults),Yes,No,No,Yes,"No, not at all"
6/20/2020 22:08:56,41-64,Male,Palilula,"Always, almost every day",As frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
6/22/2020 22:37:16,41-64,Male,Palilula,"Always, almost every day",As frequently,From 15 to 30 minutes,Walking the dog,,Yes,Yes,Yes,Yes,"Yes, while using the app"
6/22/2020 22:37:42,41-64,Female,Palilula,"Always, almost every day",As frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,Yes,No,Yes,"No, not at all"
6/22/2020 22:37:53,41-64,Female,Palilula,"Always, almost every day",As frequently,Up to 15 minutes,Walking the dog,Alone or with pets,Yes,Yes,No,Yes,"No, not at all"
6/23/2020 11:44:12,41-64,Male,Novi Beograd,"Sometimes, a couple of times per month",As frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),No,Yes,Yes,No,"Yes, at all time"
6/23/2020 13:20:15,41-64,Female,Palilula,"Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
6/23/2020 13:47:38,41-64,Female,Voždovac,"Rarely, a couple of times per year",As frequently,Up to 15 minutes,Sitting and relaxing,Alone or with pets,Yes,No,Yes,Yes,"Yes, at all time"
6/23/2020 15:09:32,41-64,Female,Zvezdara,"Sometimes, a couple of times per month",More frequently,Not at all,Sitting and relaxing,Alone or with pets,Yes,No,No,No,"No, not at all"
6/23/2020 20:22:29,41-64,Female,"Čukarica, Novi Beograd, Zvezdara",Not at all,Not at all,Not at all,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,Yes,"No, not at all"
6/23/2020 22:16:31,41-64,Female,"Vračar, Zvezdara","Rarely, a couple of times per year",As frequently,Up to 15 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
6/24/2020 15:27:45,41-64,Female,"Čukarica, Voždovac, Vračar, Novi Beograd, Palilula, Rakovica, Savski Venac, Stari grad, Zemun, Zvezdara","Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing","With children, With partner or friend (two adults)",Yes,No,No,No,"No, not at all"
6/24/2020 17:24:57,41-64,Female,Novi Beograd,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Walking the dog","Alone or with pets, With children, With partner or friend (two adults)",Yes,Yes,No,No,"No, not at all"
6/24/2020 18:32:31,15-24,Male,Novi Beograd,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog, Physical activity","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,No,No,Yes,"No, not at all"
6/25/2020 13:29:18,41-64,Female,"Čukarica, Voždovac, Vračar, Novi Beograd, Palilula, Rakovica, Savski Venac, Stari grad, Zemun, Lazarevac","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Female,"Novi Beograd, Zemun","Often, a couple of times per week",Less frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,No,Yes,"Yes, at all time"
,15-24,Male,"Voždovac, Vračar, Palilula","Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog",With partner or friend (two adults),Yes,Yes,Yes,Yes,"No, not at all"
,15-24,Female,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Male,"Vračar, Palilula, Stari grad","Always, almost every day",Less frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,15-24,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,Yes,No,No,"Yes, at all time"
,15-24,Female,Stari grad,"Often, a couple of times per week",Less frequently,More than one hour,"Spending time with friends, Walking the dog",Alone or with pets,Yes,No,Yes,Yes,"Yes, at all time"
,15-24,Male,"Vračar, Palilula, Stari grad","Always, almost every day",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,No,No,No,"No, not at all"
,15-24,Female,"Novi Beograd, Zemun","Often, a couple of times per week",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),No,No,No,Yes,"Yes, at all time"
,15-24,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,"Spending time with friends, Walking the dog",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Male,Stari grad,"Always, almost every day",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,No,No,"Yes, at all time"
,15-24,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Spending time with friends, Walking the dog",With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, at all time"
,15-24,Male,Palilula,"Often, a couple of times per week",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,Yes,Yes,Yes,"Yes, while using the app"
,15-24,Female,"Novi Beograd, Zemun","Often, a couple of times per week",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,Yes,Yes,Yes,"Yes, at all time"
,15-24,Male,"Voždovac, Vračar, Palilula","Sometimes, a couple of times per month",More frequently,More than one hour,"Spending time with friends, Walking the dog",With children,Yes,No,No,No,"No, not at all"
,25-40,Male,"Novi Beograd, Zemun","Always, almost every day",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,"Vračar, Palilula, Stari grad","Always, almost every day",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Male,Zvezdara,"Always, almost every day",Less frequently,Up to 15 minutes,"Spending time with friends, Walking the dog",Alone or with pets,Yes,Yes,No,Yes,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog",Alone or with pets,Yes,No,No,Yes,"No, not at all"
,25-40,Female,"Novi Beograd, Zemun","Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Spending time with friends, Walking the dog",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,Palilula,"Sometimes, a couple of times per month",Less frequently,Not at all,Sitting and relaxing,With children,No,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Male,"Novi Beograd, Zemun","Often, a couple of times per week",More frequently,Up to 15 minutes,"Spending time with friends, Walking the dog",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Female,"Vračar, Palilula, Stari grad","Always, almost every day",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Female,"Voždovac, Vračar, Palilula","Sometimes, a couple of times per month",More frequently,More than one hour,"Spending time with friends, Walking the dog",Alone or with pets,No,Yes,No,No,"No, not at all"
,25-40,Male,Palilula,"Often, a couple of times per week",More frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,"Novi Beograd, Zemun","Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Spending time with friends, Walking the dog",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,Stari grad,"Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,"Vračar, Palilula, Stari grad","Always, almost every day",More frequently,More than one hour,Sitting and relaxing,With children,Yes,No,No,No,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, while using the app"
,25-40,Male,Palilula,"Sometimes, a couple of times per month",More frequently,More than one hour,"Spending time with friends, Walking the dog",With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,Palilula,"Often, a couple of times per week",More frequently,From 30 minutes to one hour,Sitting and relaxing,With a large group of friends (more than 5 people),Yes,Yes,Yes,Yes,"No, not at all"
,25-40,Female,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Spending time with friends, Walking the dog",With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Female,Stari grad,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,"Vračar, Palilula, Stari grad","Always, almost every day",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,No,No,No,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Often, a couple of times per week",Less frequently,Up to 15 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Female,Zvezdara,"Always, almost every day",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),No,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Male,"Voždovac, Vračar, Palilula","Sometimes, a couple of times per month",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, at all time"
,25-40,Female,"Novi Beograd, Zemun","Always, almost every day",Less frequently,From 15 to 30 minutes,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,No,No,Yes,"Yes, at all time"
,25-40,Male,Stari grad,"Sometimes, a couple of times per month",Less frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,Yes,Yes,Yes,"Yes, while using the app"
,25-40,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,More than one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,No,Yes,"Yes, at all time"
,25-40,Male,Zvezdara,"Sometimes, a couple of times per month",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a large group of friends (more than 5 people),Yes,Yes,Yes,No,"No, not at all"
,25-40,Female,"Vračar, Palilula, Stari grad","Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With children,Yes,Yes,Yes,Yes,"No, not at all"
,25-40,Female,"Novi Beograd, Zemun","Often, a couple of times per week",More frequently,From 30 minutes to one hour,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,25-40,Male,"Novi Beograd, Zemun","Sometimes, a couple of times per month",Less frequently,More than one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,Yes,No,"Yes, while using the app"
,25-40,Male,Stari grad,"Often, a couple of times per week",More frequently,From 30 minutes to one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,Zvezdara,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"No, not at all"
,41-64,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,From 30 minutes to one hour,Sitting and relaxing,With a large group of friends (more than 5 people),No,Yes,Yes,Yes,"Yes, at all time"
,41-64,Female,Zvezdara,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog",Alone or with pets,No,Yes,Yes,Yes,"Yes, at all time"
,41-64,Male,"Novi Beograd, Zemun","Often, a couple of times per week",As frequently,From 15 to 30 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, while using the app"
,41-64,Male,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity",With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"No, not at all"
,41-64,Female,"Voždovac, Vračar, Palilula","Sometimes, a couple of times per month",More frequently,More than one hour,Sitting and relaxing,With a small group of friends (up to 5 persons),Yes,Yes,Yes,No,"Yes, at all time"
,41-64,Female,"Novi Beograd, Zemun","Sometimes, a couple of times per month",More frequently,More than one hour,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
,41-64,Male,Palilula,"Often, a couple of times per week",More frequently,From 30 minutes to one hour,Sitting and relaxing,Alone or with pets,Yes,No,No,No,"Yes, while using the app"
,41-64,Female,"Vračar, Palilula, Stari grad","Often, a couple of times per week",Less frequently,Up to 15 minutes,"Spending time with friends, Walking the dog",With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, at all time"
